stamp_sec,stamp_nanosec,gps_latitude,gps_longitude,gps_altitude,imu_orientation_x,imu_orientation_y,imu_orientation_z,imu_orientation_w,imu_angular_velocity_x,imu_angular_velocity_y,imu_angular_velocity_z,imu_linear_acceleration_x,imu_linear_acceleration_y,imu_linear_acceleration_z,dvl_linear_x,dvl_linear_y,dvl_linear_z,dvl_angular_x,dvl_angular_y,dvl_angular_z
1783414678,241394339,-33.72480840570041,150.6810225011596,0.3610332580283284,-0.008071892191339103,-0.022551331338876292,-0.2669388476113159,0.9634157636489235,0.44969502723720306,-0.029533783562299604,9.62395011180553,0.0,0.0,0.0,0.7373501607241169,-0.4690834517245667,0.0,0.0,0.0,0.0
1783414679,244597523,-33.72481152517521,150.68102891562717,0.32826978527009487,-0.007047405545881717,-0.02309819053787529,-0.26713867527683177,0.9633554566411545,0.4219930637958969,-0.13503802258750133,9.67915348174778,0.0,0.0,0.0,0.5932789038221007,-0.34689888394054197,0.0,0.0,0.0,0.0
1783414680,247792670,-33.72481473661129,150.68103588701777,0.2449582489207387,-0.005685042401414902,-0.02396699301192349,-0.2670356532033656,0.9633717991809353,0.43146343751627453,-0.17162325373102905,9.807044158444864,0.0,0.0,0.0,0.6433964947737959,-0.3563540386035087,0.0,0.0,0.0,0.0
1783414681,252821043,-33.72481857859975,150.68104418912992,0.14368823543190956,-0.004887492030315529,-0.02475810497028364,-0.2667516644214868,0.9634348437690535,0.4541387935171524,0.0008317064308969099,9.9371004367757,0.0,0.0,0.0,0.7642063885461553,-0.4252078297813483,0.0,0.0,0.0,0.0
1783414682,256254303,-33.72482404366059,150.68105504159072,0.12252155877649784,-0.005982724088357012,-0.024404927004958835,-0.2668120974618098,0.9634209418516888,0.5269586287116085,0.12385275803573242,9.924351404775434,0.0,0.0,0.0,1.0020198589611473,-0.6066891565041932,0.0,0.0,0.0,0.0
1783414683,259721930,-33.72482846259846,150.6810632088065,0.20738430693745613,-0.007340178698848017,-0.023550334414776858,-0.2671629005891407,0.9633356051109178,0.529357457385354,0.11782381532913046,9.785502391339387,0.0,0.0,0.0,0.7507825827398521,-0.4884062167651827,0.0,0.0,0.0,0.0
1783414684,263199840,-33.72483288774165,150.6810715471254,0.3078466085717082,-0.007662318644587372,-0.02285791452055817,-0.26758778755720053,0.963231841545431,0.4968714482418169,-0.013549554753433578,9.66216742078301,0.0,0.0,0.0,0.7715459232773664,-0.49230442215245473,0.0,0.0,0.0,0.0
1783414685,267189358,-33.72483807872423,150.6810822013026,0.33776103239506483,-0.0062773514336943335,-0.023086540599198735,-0.2675634240301153,0.9632431783425306,0.4577359919526319,-0.13117844577337684,9.658636201415145,0.0,0.0,0.0,0.9834461320247604,-0.5761072792449554,0.0,0.0,0.0,0.0
1783414686,272226382,-33.724841515338106,150.6810896023559,0.28919767402112484,-0.004990717454284849,-0.023707705247472347,-0.26721664014824337,0.9633318767066076,0.44557814032438625,-0.0999987856696074,9.783417268851078,0.0,0.0,0.0,0.6818629648408162,-0.38067770041136473,0.0,0.0,0.0,0.0
1783414687,276132890,-33.724845360352695,150.6810976109624,0.2199954641982913,-0.005077790001807604,-0.024109327530651686,-0.2668876991791401,0.9634126386972418,0.44642107506823736,0.0547473978468971,9.884247327245136,0.0,0.0,0.0,0.7383767490448848,-0.4262281983073214,0.0,0.0,0.0,0.0
1783414688,279106724,-33.7248507253633,150.6811078538652,0.18337166868150234,-0.006794924910596261,-0.02383675595851936,-0.26703452938846545,0.9633681529794901,0.4917877601097866,0.1541271866655809,9.867480781098896,0.0,0.0,0.0,0.9457538081065253,-0.5955918701955034,0.0,0.0,0.0,0.0
1783414689,282189506,-33.72485528043628,150.68111618474273,0.2076929584145546,-0.008209954605922396,-0.02342224328643351,-0.2674222969679829,0.9632597314583268,0.4865372121240403,0.09665052325761982,9.77910451685786,0.0,0.0,0.0,0.76878479937472,-0.5053968214642676,0.0,0.0,0.0,0.0
1783414690,286422574,-33.72485966188421,150.68112464069537,0.2347262529656291,-0.00785033804797575,-0.023444747493818474,-0.26760327298541503,0.9632119207604197,0.4625697343224021,-0.08655591803217973,9.74802975542503,0.0,0.0,0.0,0.7798125228217009,-0.48581223374239096,0.0,0.0,0.0,0.0
1783414691,290617392,-33.72486472958981,150.68113550483218,0.2262060083448887,-0.0056464100489029175,-0.024023391337069575,-0.2671004400727246,0.9633526610931131,0.46594305033042427,-0.18055301417692876,9.791585746323156,0.0,0.0,0.0,1.0008903129684856,-0.5613397104695791,0.0,0.0,0.0,0.0
1783414692,294437431,-33.724868023453205,150.68114280992503,0.2119324980303645,-0.004084303801503756,-0.024364387053616557,-0.2663993329625052,0.9635461019085132,0.49031059421716705,-0.08185311391081465,9.846865727692311,0.0,0.0,0.0,0.6743257831761981,-0.36557184260263637,0.0,0.0,0.0,0.0
1783414693,297830478,-33.72487179541065,150.68115065801175,0.2239250624552369,-0.004556678817124175,-0.023906402300515002,-0.2660152053095024,0.9636615750103076,0.5005185028143418,0.1413569019367517,9.87149054444541,0.0,0.0,0.0,0.7237445532174543,-0.41822638584430105,0.0,0.0,0.0,0.0
1783414694,302521868,-33.72487793376013,150.68116192145376,0.30885289888828993,-0.007115850312804559,-0.022816474418481413,-0.26655221048288286,0.9635241005061189,0.4833633424822296,0.2376091918839398,9.751503333554163,0.0,0.0,0.0,1.0386046873127375,-0.6805403663936124,0.0,0.0,0.0,0.0
1783414695,307141127,-33.72488203444501,150.68116914328382,0.34982998482882977,-0.009072224095769764,-0.022237676601738105,-0.267401873525033,0.9632857408498346,0.4467214846297205,0.13230486606679764,9.636461671922014,0.0,0.0,0.0,0.6654193467238336,-0.4542842544535642,0.0,0.0,0.0,0.0
1783414779,884113961,-33.725221323537646,150.68192220009692,0.2984411735087633,-0.0033113100210055224,-0.024378617593340753,-0.22717576863701727,0.9735429566148392,0.39363846282801834,-0.009229228472375246,9.82150675741385,0.0,0.0,0.0,0.6548933409357792,-0.29189948455795056,0.0,0.0,0.0,0.0
1783414780,888188417,-33.725226502902125,150.6819347937524,0.08579526469111443,-0.004679410255494339,-0.025197399312322094,-0.22665281004152915,0.9736383814783776,0.4486631835849225,0.15335887977570098,9.980264824954318,0.0,0.0,0.0,1.1624605451394705,-0.5748122520083471,0.0,0.0,0.0,0.0
1783414781,892083254,-33.72523050398403,150.68194366242182,0.062159979715943336,-0.006487073175652806,-0.02495715187448825,-0.22663304657624642,0.9736388039984316,0.5146471244449883,0.14207500962445235,9.953698631524393,0.0,0.0,0.0,0.8158594807390579,-0.44254503046389687,0.0,0.0,0.0,0.0
1783414782,895284445,-33.72523386211118,150.68195120824072,0.12782291695475578,-0.007181847756926446,-0.024156209562288256,-0.22670782039943926,0.9736367201231242,0.5607027374157697,0.02359475692504078,9.82372101246964,0.0,0.0,0.0,0.6982454821540165,-0.37361303633774856,0.0,0.0,0.0,0.0
1783414783,898573361,-33.72523829089724,150.68196209324455,0.2685075383633375,-0.005853781262180117,-0.02348322526293789,-0.2262606189935556,0.9737660928933795,0.5412188704529453,-0.14199318415180961,9.729818716237075,0.0,0.0,0.0,1.0045189645509178,-0.49140252540698315,0.0,0.0,0.0,0.0
1783414784,901597920,-33.72524140489551,150.68197036591053,0.34446847066283226,-0.004275337091810552,-0.02324512322301176,-0.22536733164011755,0.9739871413773961,0.4857261087494898,-0.1101239577913967,9.691404171848037,0.0,0.0,0.0,0.7636528638157768,-0.34561452964033895,0.0,0.0,0.0,0.0
1783414785,904221834,-33.72524479330073,150.68197923594903,0.3680624095723033,-0.0037461245024245863,-0.023236584525490833,-0.22412018411266976,0.9742772555921159,0.44222065919271397,0.018098229784154214,9.677155285197866,0.0,0.0,0.0,0.819074452218302,-0.3761978819593069,0.0,0.0,0.0,0.0
1783414786,907415129,-33.72524938611358,150.6819902767518,0.32334613241255283,-0.005143984669948249,-0.02339682590212674,-0.22305000013238496,0.9745126091541165,0.4041395097533429,0.1290516671519714,9.728189914375736,0.0,0.0,0.0,1.0189455395598919,-0.5096267295820158,0.0,0.0,0.0,0.0
1783414787,912871605,-33.72525324800157,150.68199911356396,0.24891361687332392,-0.006570331362409952,-0.023721578197345158,-0.22248321301177046,0.9746257422218924,0.3996858601520672,0.1019937887278829,9.77062741902431,0.0,0.0,0.0,0.8132673871227473,-0.4273271987798697,0.0,0.0,0.0,0.0
1783414788,915950798,-33.7252563676323,150.6820065050038,0.17635790072381496,-0.006887647748852596,-0.024396151348180625,-0.22186570213304818,0.9747476587942615,0.4523430702809855,-0.03631619887652804,9.819845884231503,0.0,0.0,0.0,0.6826774571398837,-0.34642787761201477,0.0,0.0,0.0,0.0
